,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RBM28,92.8521857569597,-0.502870847925374,0.131096579894314,-3.83588075547641,0.0001251151058,0.000489981373198
FUK,14.2880574119201,1.39246133980602,0.363191718177422,3.83395675097909,0.000126098322051,0.000493727726689
CLN6,16.7241230247181,-1.18761180026171,0.309779691772641,-3.83373033095191,0.000126214506338,0.000494078422848
SLC1A5,256.322280281191,0.383481616292746,0.100035586555644,3.83345196940929,0.000126357481968,0.000494533826222
PRKCD,18.2321356144263,-1.23602807023718,0.322530174500611,-3.8322866136509,0.00012695770595,0.00049677822419
CYGB,30.1333183336923,-1.56529734183137,0.408491314260768,-3.83189871408658,0.000127158091523,0.000497457461103
DLD,205.937965904939,-0.416354310150248,0.108662819500298,-3.831617033912,0.000127303791865,0.000497922521785
NDUFS7,229.588159424445,-0.483161376130278,0.126102552048217,-3.83149562227365,0.000127366641098,0.000498063399768
RAB27B,22.5791235224761,2.88288553601138,0.752546016129591,3.83084286438497,0.00012770504548,0.000499281541542
NAT9,181.230076417186,0.558626748721101,0.145855704155396,3.82999589872696,0.000128145394731,0.000500897654745
MTRF1L,132.381865780657,-0.59542400823772,0.155519919495026,-3.82860285789156,0.000128872769943,0.000503634784937
RFTN2,15.4349684382591,-1.2732402763256,0.332618810956645,-3.82792624585372,0.00012922746467,0.000504914634112
DOC2A,3.27633043648641,2.85555928282559,0.746294458624998,3.82631714576413,0.000130074689,0.000508117940217
HOXB13,3.58961427584345,3.18131962920465,0.831584444696991,3.82561223877131,0.000130447483439,0.000509466996649
ATG16L2,21.5930111038102,1.14834568073283,0.300190433145425,3.82539066518661,0.00013056487183,0.000509818198523
F2RL1,19.3870382683611,2.71221587937374,0.709185319542499,3.82441063659272,0.000131085280145,0.000511742598389
CDH4,2.27268364354134,-3.11309496857797,0.814115868517003,-3.82389668223615,0.000131358977495,0.000512703258881
PLEKHH3,34.7590336368254,-0.852972289300856,0.223113095097796,-3.82304897400565,0.000131811586491,0.00051436167333
SLC35A4,93.9269879008745,-0.555067683944647,0.145207485094777,-3.82258313737998,0.000132060931555,0.000515226370839
NDUFAF7,60.9286948434951,0.684516770709328,0.179143580314377,3.82105107818029,0.000132884124197,0.000518329060193
NAPEPLD,30.7091203536655,0.966908584085371,0.253060856571419,3.82085399214039,0.00013299037105,0.000518634507942
GLIS3,31.2210952633741,1.21134100925946,0.317413397037871,3.81628822401259,0.000135474246033,0.000528210130038
VAMP7,139.916907525773,0.480756335858401,0.125983151147172,3.816036759525,0.000135612310076,0.00052863740276
IQSEC2,31.4208770369442,0.937790709091816,0.245841452062508,3.8146158885092,0.000136394918866,0.000531576501975
GAPVD1,392.804442430479,0.3023231798799,0.079274579515335,3.81362073098626,0.000136945578164,0.000533610572514
CYP2W1,0.790326515986833,4.28492255116588,1.12381689960314,3.81282978809007,0.000137384730611,0.000535209392305
RNF208,3.18196241796036,3.07011518134458,0.805259496530895,3.81257867131132,0.000137524434524,0.000535641224941
STXBP5,44.8927957010409,-0.978597126661711,0.256713377343796,-3.81202232928888,0.000137834421351,0.000536735968855
TSPAN31,64.2083717984767,0.738498011119428,0.193749071252034,3.811620909185,0.000138058496281,0.000537495777364
CCDC15,7.04245506912798,-1.72568945925171,0.452923969643278,-3.81010848379445,0.000138905826263,0.000540681244061
RP11-603J24.9,21.2825159845571,-1.10695095036496,0.29055338798688,-3.80980224679034,0.000139077989549,0.000541237886792
TTC29,2.53745533254549,3.38651640925169,0.889052443416889,3.80913008487589,0.000139456577041,0.000542597451189
